,Link,Job Title,Company Name,Location,Salary,Date
1,https://pk.indeed.com/company/Servixer/jobs/Data-Entry-dac06508366e0038?fccid=d26032eec8522bc4&vjs=3,Data Entry,Servixer,Karachi,"Rs 27,000 - Rs 100,000 a month",EmployerActive 1 day ago
2,https://pk.indeed.com/company/TATA-Pakistan/jobs/Senior-Officer-Data-Entry-fb9aea6f94fd5e79?fccid=d706214105e7ef8f&vjs=3,Sr. Officer Data Entrynew,TATA Pakistan,Karachi,"Rs 35,000 a month",EmployerActive 2 days ago
3,https://pk.indeed.com/company/Speedylancer/jobs/Data-Entry-Officer-2316c18997d86ee9?fccid=bd9a109c35d682a0&vjs=3,DATA ENTRY OFFICERnew,Speedylancer,Karachi,"Rs 20,000 - Rs 25,000 a month",PostedPosted 1 day ago
4,https://pk.indeed.com/company/Lucky-Aluminum-Pvt-Ltd/jobs/Data-Entry-Operator-d5fd079c7a97b328?fccid=cba6795826322790&vjs=3,Data Entry Operator,Lucky Aluminum Pvt Ltd,Karachi,"Rs 25,000 - Rs 35,000 a month",PostedPosted 12 days ago
5,https://pk.indeed.com/company/Saba-Digital-Convenience/jobs/Data-Entry-Officer-d61d9ea70406573e?fccid=59ba9427b6fd1e84&vjs=3,Data Entry Officernew,Saba Digital Convenience,Karachi,N/A,PostedPosted 6 days ago
6,https://pk.indeed.com/company/CUBIXXX-Marketing/jobs/Data-Entry-Operator-a40567830f4318b5?fccid=41d413bd16096084&vjs=3,Data Entry Operatornew,Cubixxx Marketing,Karachi,N/A,PostedPosted 2 days ago
7,https://pk.indeed.com/company/Plentys.pk/jobs/Data-Entry-Operator-6ac665a9b5fc2bfa?fccid=c86a502f28a5bfa7&vjs=3,Data Entry Operator,Plentys.pk,Karachi,"Rs 25,000 a month",EmployerActive 9 days ago
8,https://pk.indeed.com/company/Al-Farooq-Iron/jobs/Data-Entry-Operator-ccd4d0e753c0f9d8?fccid=1a302fb43f123dfc&vjs=3,Data Entry Operator,Al Farooq Iron Merchant,Karachi,"Rs 18,000 - Rs 20,000 a month",EmployerActive 1 day ago
9,https://pk.indeed.com/company/HRSG-Outsourcing/jobs/Data-Entry-Support-7d7a0494e29e4e04?fccid=9a07d49b07dd2c03&vjs=3,Data Entry Supportnew,HRSG Outsourcing Pvt Limited,Karachi,"Rs 30,000 a month",PostedPosted 6 days ago
10,https://pk.indeed.com/company/Hakimi-Recruiters/jobs/Data-Entry-64729cb44dd5dd60?fccid=dd616958bd9ddc12&vjs=3,Data Entry,Hakimi Recruiters,Karachi,"Rs 25,000 - Rs 35,000 a month",EmployerActive 3 days ago
11,https://pk.indeed.com/company/LeatherJacket4/jobs/Data-Entry-Operator-f655b9b2fa4abf8f?fccid=248a02daeb4451df&vjs=3,Data Entry Operator (Female),LeatherJacket4,Karachi,"Rs 20,000 - Rs 25,000 a month",PostedPosted 30+ days ago
12,https://pk.indeed.com/company/MWM-Digital/jobs/Data-Entry-Operator-cd9f98f2b3c3ee97?fccid=26394e24c6f03d61&vjs=3,Data Entry Operator,Carpe Diem Team,Karachi,"Rs 25,000 - Rs 35,000 a month",EmployerActive 3 days ago
13,https://pk.indeed.com/company/MicroMerger-(Pvt.)-Ltd/jobs/Data-Quality-Officer-89c2690341ed5240?fccid=2f3a20a11b8438fa&vjs=3,Data Quality Officer-Karachinew,MicroMerger (Pvt.) Ltd,Karachi,"Rs 44,000 a month",PostedPosted 4 days ago
14,https://pk.indeed.com/company/NCCI/jobs/Data-Entry-Operator-5cc409a46a9e14f5?fccid=bbd2075961d55a90&vjs=3,Data Entry Operator,NCCI,Karachi,"Rs 24,000 - Rs 26,000 a month",EmployerActive 1 day ago
15,https://pk.indeed.com/company/Daily-Food-Industries/jobs/Data-Entry-Operator-Kpo-5862d30e25f3226a?fccid=f6494c01490823ed&vjs=3,Data Entry Operator/KPO,Daily Food Industries,Karachi,"Rs 20,000 - Rs 25,000 a month",PostedPosted 30+ days ago
16,https://pk.indeed.com/company/Zubaidas-Mothershop/jobs/Data-Entry-dd6ffbe596d3087e?fccid=7631be50388d34b2&vjs=3,Data Entry,Zubaidas Mothershop,Karachi,"Rs 20,000 a month",EmployerActive 13 days ago
17,https://pk.indeed.com/company/Prod--Ro/jobs/Data-Entry-Operator-475a4234a5a7a28d?fccid=06c2465f9064e8bb&vjs=3,Data Entry Operator,Minibig Technologies,Karachi,N/A,EmployerActive 8 days ago
18,https://pk.indeed.com/company/Fulcrum-Pvt-Ltd/jobs/Data-Entry-Operator-eb0d50b5a78c034b?fccid=dc55519868e92e7f&vjs=3,Data entry operator / Warehouse assistant,Fulcrum Pvt Ltd,Karachi,"Rs 25,000 a month",EmployerActive 1 day ago
19,https://pk.indeed.com/company/AAA-Facility-Management-Pvt-Ltd./jobs/Store-Supervisor-ef4da981799ff826?fccid=d76e5b63d6ee5828&vjs=3,Store Supervisor,AAA Facility Management (Pvt)Ltd.,Karachi,N/A,EmployerActive 4 days ago
20,https://pk.indeed.com/company/Division-petrochimique-Arfeen-International-(pvt.)-limited/jobs/Data-Entry-Analyst-53f910eaac35e6ce?fccid=d806460f3a4d46cc&vjs=3,Data Entry Analyst,Division petrochimique Arfeen International (pvt.)...,Karachi,"Rs 45,000 - Rs 50,000 a month",PostedPosted 30+ days ago
21,https://pk.indeed.com/company/Al-Mustafa-Welfare-Society/jobs/Store-Officer-387996007a3ecbe6?fccid=8f5f29d52abb924d&vjs=3,Store Officer,Al Mustafa Welfare Society,Karachi,"Rs 45,000 - Rs 50,000 a month",EmployerActive 1 day ago
22,https://pk.indeed.com/company/Speedylancer/jobs/Data-Entry-Officer-2afb74904c70597b?fccid=bd9a109c35d682a0&vjs=3,DATA ENTRY OFFICER (MALE CANDIDATES),Speedylancer,Karachi+1 location,"Rs 22,000 - Rs 30,000 a month",EmployerActive 1 day ago
23,https://pk.indeed.com/rc/clk?jk=45e8768f9ba42455&fccid=fc4ca34e7e15c6b6&vjs=3,Data Entry Specialist,Chapal,Karachi,N/A,PostedPosted 30+ days ago
24,https://pk.indeed.com/company/Fulcrum-Pvt-Ltd/jobs/Warehouse-Supervisor-8e9fb5eec026ef4e?fccid=dc55519868e92e7f&vjs=3,Warehouse Supervisor - Korangi,Fulcrum Pvt Ltd,Karachi,"Rs 35,000 - Rs 40,000 a month",PostedPosted 30+ days ago
25,https://pk.indeed.com/company/HRSG/jobs/Research-Associate-27ae439b3866749b?fccid=7ee7dfbd109f1eb3&vjs=3,Research Associate,HRSG,Karachi,"Rs 60,000 - Rs 70,000 a month",EmployerActive 1 day ago
26,https://pk.indeed.com/company/AME-Solutions/jobs/Female-Data-Entry-Operator-12d5a6496e127588?fccid=ba1de5b8c7ade98b&vjs=3,Required Female Data Entry Operatornew,AME Solutions,Karachi,"Rs 25,000 a month",PostedPosted 6 days ago
27,https://pk.indeed.com/company/AUA-SOLUTIONS/jobs/Data-Processing-Associate-7e5505baaef80984?fccid=bad220a08e03b070&vjs=3,Data Processing Associatenew,AUA Solutions,Karachi,"Rs 22,000 - Rs 32,000 a month",EmployerActive 4 days ago
28,https://pk.indeed.com/company/Akber-Ali-&-Sons/jobs/Data-Entry-Intern-701f2629642331ac?fccid=641365501046e051&vjs=3,Data Entry Intern,Akber Ali & Sons,Karachi,N/A,EmployerActive 3 days ago
29,https://pk.indeed.com/company/The-Hunar-Foundation/jobs/Student-Relation-Officer-21760f4668b2a6ea?fccid=877d947e4a818703&vjs=3,Students Relation Officer (SRO) - Karachinew,The Hunar Foundation,Karachi,"Rs 30,000 - Rs 45,000 a month",PostedPosted 4 days ago
30,https://pk.indeed.com/company/Gerry's-International/jobs/Ticketing-Reservation-Officer-a21b254c9f4c1fda?fccid=410a45219cd633a0&vjs=3,Ticketing and Reservations Officer,Gerry's International,Karachi,"Rs 45,000 a month",PostedPosted 20 days ago
31,https://pk.indeed.com/company/ASL/jobs/Data-Entry-Operator-0af1bfe29a0180b8?fccid=a743709abd9caf37&vjs=3,Data Entry Operator,AMRELI STEELS LIMITED,Karachi,"Rs 22,000 - Rs 25,000 a month",EmployerActive 6 days ago
32,https://pk.indeed.com/company/HUBSTAR-FOAM-PVT-LIMITED/jobs/Account-Coordinator-790b25bdbccfb7b3?fccid=69e8aecf2aff757f&vjs=3,ACCOUNTS COORDINATOR,HUBSTAR FOAM PVT LIMITED,Karachi,"Rs 60,000 a month",EmployerActive 1 day ago
33,https://pk.indeed.com/company/Supersoft-Technologies/jobs/Data-Entry-Operator-cc8e9ed19f65a3eb?fccid=44aa4b3b4e4ead3d&vjs=3,Data Entry Operator,Supersoft Technologies,Karachi,"Rs 15,000 - Rs 20,000 a month",PostedPosted 11 days ago
34,https://pk.indeed.com/company/hotel-towels-usa/jobs/Data-Entry-Operator-9d7d3f37233b284d?fccid=f6e28118e2b8b5c8&vjs=3,Data Entry Operator (Female),Digitizal,Karachi,"Rs 20,000 - Rs 25,000 a month",EmployerActive 6 days ago
35,https://pk.indeed.com/company/Exide-Pakistan-Limited/jobs/Production-Data-Coordinator-0d23bcd4f61740db?fccid=4f4cab9db05c409d&vjs=3,Production Data Coordinator,Exide Pakistan Limited,Karachi,N/A,PostedPosted 11 days ago
36,https://pk.indeed.com/company/Digaptics-Inc/jobs/Office-Work-b92291926b803069?fccid=c3183dd3e35802b3&vjs=3,Office Work,Digaptics Inc,Karachi,N/A,EmployerActive 3 days ago
37,https://pk.indeed.com/company/PlegoTechnologies/jobs/Bookkeeping-Executive-7c544e39a0cb3100?fccid=a88ec61a9fa2633e&vjs=3,Bookkeeping Executive - Remote,Horizon Technologies,Karachi,"Rs 70,000 - Rs 120,000 a month",PostedPosted 22 days ago
38,https://pk.indeed.com/rc/clk?jk=b4cf17c89b254ebe&fccid=e04427867776d3bd&vjs=3,Data Officer,Pathfinder International,Karachi,N/A,PostedPosted 12 days ago
39,https://pk.indeed.com/company/Fulcrum-Pvt-Ltd/jobs/QA-Supervisor-ac6415b983ad0915?fccid=dc55519868e92e7f&vjs=3,QA Supervisor - Food Industry - Korangi,Fulcrum Pvt Ltd,Karachi,"Rs 35,000 a month",EmployerActive 10 days ago
40,https://pk.indeed.com/company/Highfy-Private-Limited/jobs/Data-Entry-Inventory-Management-dda30560365b576a?fccid=eb2f5c29e1d928a7&vjs=3,Data Entry and Inventory Management,Highfy Private Limited,Karachi,"Rs 22,000 - Rs 25,000 a month",PostedPosted 30+ days ago
41,https://pk.indeed.com/company/Sanaulla-Store/jobs/Warehouse-Manager-f19ecba3b378a731?fccid=80c6113dc0095111&vjs=3,Warehouse Manager,Sanaulla Store,Karachi,"Rs 50,000 - Rs 65,000 a month",PostedPosted 12 days ago
42,https://pk.indeed.com/company/Wallstreet-Garments/jobs/Customer-Service-Representative-d021738d3e5e87d0?fccid=6767c68303a2a45d&vjs=3,Customer Service Representative (Part-time/Full-time),CP Stores,Karachi,"Rs 16,000 - Rs 18,000 a month",PostedPosted 30+ days ago
43,https://pk.indeed.com/company/Lucky-Aluminium-Pvt-Ltd/jobs/Account-Officer-5558645e5b9aa547?fccid=7b39d3089f8cb5d7&vjs=3,Accounts Officer,Lucky Aluminium Pvt Ltd,Karachi,"Rs 30,000 - Rs 45,000 a month",PostedPosted 18 days ago
44,https://pk.indeed.com/company/Success-Recruiting/jobs/Assistant-Data-Entry-2031627360068cc2?fccid=cadf4ada2c683aa8&vjs=3,Assistant Data Entry,"Retail Outlet, Cooperative Market, Saddar, Karachi",Karachi,"Rs 25,000 a month",PostedPosted 10 days ago
45,https://pk.indeed.com/company/Shipping-&-Logistics/jobs/Data-Entry-Operator-Marketing-Department-f750a6b5c6828478?fccid=ee7c6d5567845612&vjs=3,Data Entry Operator for Marketing Department,Plastics Product Manufacturing,Karachi,N/A,EmployerActive 1 day ago
46,https://pk.indeed.com/rc/clk?jk=0bd80528772d2583&fccid=6fd0f62bb4049779&vjs=3,Receptionist,Patients' Aid Foundation,Karachi,N/A,PostedPosted 30+ days ago
47,https://pk.indeed.com/company/TGM/jobs/Graphic-Designer-1104766c66fca2aa?fccid=da75a5c5cd958515&vjs=3,Graphic Designer / Data Entry Requirednew,THE GREAT MASTERS,Karachi,"Rs 10,000 - Rs 25,000 a month",PostedPosted 2 days ago
48,https://pk.indeed.com/company/Tabook/jobs/Data-Entry-Officer-aeb542e97ef79a10?fccid=595916f1b3e7404d&vjs=3,Data Entry Officer,OCCI,Karachi,"Rs 18,000 - Rs 22,000 a month",PostedPosted 24 days ago
49,https://pk.indeed.com/company/Wisdom-Motors-LLC/jobs/Tele-Sales-Executive-6d1dc126ee0faeca?fccid=43f931a089067c59&vjs=3,Tele Sales Executivenew,Robust Auto Group,Karachi,"Rs 40,000 - Rs 80,000 a month",EmployerActive 1 day ago
50,https://pk.indeed.com/company/UBL-Funds/jobs/Operation-Officer-a850deed0f60cfe8?fccid=d21df0be2db157ee&vjs=3,Operations Officer,UBL Funds,Karachi,"Rs 30,000 - Rs 32,000 a month",EmployerActive 2 days ago
51,https://pk.indeed.com/company/Aykays/jobs/Internship-Program-154bcf251673779c?fccid=3b348a5cdb2faa85&vjs=3,Internship Program 2022,Aykays,Karachi,"Rs 5,000 - Rs 10,000 a month",PostedPosted 30+ days ago
52,https://pk.indeed.com/company/Sociofy/jobs/Senior-Executive-Accountant-a4775238c6d12a54?fccid=c47692bf00a924af&vjs=3,Senior Executive Accountantnew,Sociofy (Private) Limited,Karachi,"Rs 80,000 - Rs 110,000 a month",EmployerActive 2 days ago
53,https://pk.indeed.com/company/Trax-courier-&-Logistics/jobs/Operation-Staff-a22320b8981c9573?fccid=245e61b698b3ef6f&vjs=3,Operations Staff Requirednew,Trax courier & Logistics,Karachi,"Rs 20,000 - Rs 25,000 a month",PostedPosted 2 days ago
54,https://pk.indeed.com/rc/clk?jk=6f2749175ede8462&fccid=95d20ec7cc063452&vjs=3,Warehouse Incharge,Optimum Advisory,Karachi,N/A,PostedPosted 30+ days ago
55,https://pk.indeed.com/company/Fulcrum-Pvt-Ltd/jobs/Warehouse-Supervisor-fcb189771d28209e?fccid=dc55519868e92e7f&vjs=3,Warehouse Supervisor - Finished Goods Karachi,Fulcrum Pvt Ltd,Karachi,"Rs 35,000 a month",EmployerActive 1 day ago
56,https://pk.indeed.com/company/Deific/jobs/Business-Analyst-61f7cb82f3084afb?fccid=68586256cbbca17c&vjs=3,Business Analyst.,Deific,Karachi,"Rs 20,000 - Rs 50,000 a month",EmployerActive 1 day ago
57,https://pk.indeed.com/company/Sand-Box/jobs/Data-Entry-Operator-8f848c308292087b?fccid=4772827a2ff2505e&vjs=3,Data Entry Operator,Sand Box,Karachi,"Rs 15,000 - Rs 25,000 a month",PostedPosted 30+ days ago
58,https://pk.indeed.com/company/The-Byte-Office/jobs/Account-Executive-6bb195912a542b97?fccid=074bf562e14ffc50&vjs=3,Accounts Executive,The byte office,Karachi,"Rs 50,000 - Rs 100,000 a month",EmployerActive 2 days ago
59,https://pk.indeed.com/company/Al--Muslim-Goods-Transport-Company/jobs/Accountant-6b8c668dc66b6269?fccid=e582b379697455f3&vjs=3,Accountant,Al-Muslim Goods Transport Company,Karachi,"Rs 40,000 - Rs 60,000 a month",EmployerActive 3 days ago
60,https://pk.indeed.com/company/Goho-rooms/jobs/Hotel-Operation-Manager-789fd7f7826bf428?fccid=0435aab62ed2ec63&vjs=3,Hotel Operations Manager,Goho rooms,Karachi,"Rs 70,000 - Rs 100,000 a month",EmployerActive 4 days ago
61,https://pk.indeed.com/company/Fusion-corporation/jobs/Female-Data-Entry-Officer-6e83680e0f4a1588?fccid=800e0082a89aa072&vjs=3,FEMALE Data Entry Officers,Fusion Corporation,Karachi,"Rs 20,000 a month",EmployerActive 5 days ago
62,https://pk.indeed.com/company/Universal-Brushwares-Pvt-Ltd/jobs/Intern-7ba40f53d3e5581d?fccid=3aa4b09ad68d7675&vjs=3,INTERN (HR),Universal Brushwares Pvt Ltd,Karachi,"Rs 20,000 - Rs 30,000 a month",EmployerActive 1 day ago
63,https://pk.indeed.com/company/Source-Code/jobs/International-Sales-Rsp-fe491d8b19e8564e?fccid=9e201390ae8ab2ff&vjs=3,International Sales RSP (Night Shift),Source Code,Karachi,"Rs 80,000 a month",EmployerActive 2 days ago
64,https://pk.indeed.com/company/Aspire-Knight/jobs/Data-Entry-Executive-fc33e2f930f1d834?fccid=7df7f10385e67940&vjs=3,Data Entry Executive,Aspire Knight,Karachi,"Rs 15,000 - Rs 25,000 a month",PostedPosted 30+ days ago
65,https://pk.indeed.com/company/Stitch-Fit-Fashions/jobs/Customer-Service-Representative-Tailoring-Coordinator-c04bd7200b211e1e?fccid=eb26a88e60d7496f&vjs=3,CSR Tailoring Coordinator - Retailnew,A Moosajee Sons,Karachi,"Rs 35,000 - Rs 40,000 a month",EmployerActive 3 days ago
66,https://pk.indeed.com/company/OPTIMIZE-ENGINEERING-CORE-PVT.-LTD/jobs/Trainee-Enginer-a0262887b3bc2b8d?fccid=b645490e9819ef77&vjs=3,Trainee Enginer,OPTIMIZE ENGINEERING CORE PVT. LTD,Karachi,"Rs 25,000 a month",EmployerActive 9 days ago
67,https://pk.indeed.com/company/Healthx-Pakistan/jobs/Office-Receptionist-cacd78403b91ea70?fccid=9444c177f5786a93&vjs=3,Office Receptionist,Healthx Pakistan,Karachi,N/A,EmployerActive 1 day ago
68,https://pk.indeed.com/company/Smart-Placement/jobs/Data-Entry-Operator-23fe2b35636f7d82?fccid=8d2c4609b71b6afd&vjs=3,Data Entry Operator,Smart Placement (Pvt) Ltd,Karachi,"Rs 9,218 - Rs 34,678 a month",PostedPosted 30+ days ago
69,https://pk.indeed.com/company/Aykays/jobs/Data-Entry-c1fa77b6a3f3f08c?fccid=3b348a5cdb2faa85&vjs=3,Data Entry - Internship,Aykays,Karachi,"Rs 10,000 a month",PostedPosted 11 days ago
70,https://pk.indeed.com/company/NBOT/jobs/Assistant-Accountant-ba4c1ab55dcf303b?fccid=397db2fb03ee9377&vjs=3,Assistant Accountant,AR Flour Mill Port Qasim,Karachi,"Rs 35,000 a month",PostedPosted 14 days ago
71,https://pk.indeed.com/company/MicroMerger-(Pvt.)-Ltd/jobs/Research-Analyst-c854134420dfb4f4?fccid=2f3a20a11b8438fa&vjs=3,Research Analyst - Karachinew,MicroMerger (Pvt.) Ltd,Karachi,"Rs 105,000 a month",EmployerActive 2 days ago
72,https://pk.indeed.com/company/Search-Group-of-Companies/jobs/Data-Entry-6c6f993db8e1fe4a?fccid=28936c74ed94d694&vjs=3,Data Entry (Night Shift),Search Group of Companies,Karachi,"Rs 15,000 - Rs 20,000 a month",EmployerActive 1 day ago
73,https://pk.indeed.com/rc/clk?cmp=PAS-ACCOUNTANTS-%2F-Restaurant-One-Solution-(ROS)&ti=Accountant&jk=87aca3b7cb144616&fccid=e4c81ac2aa1ac16c&vjs=3,Accountant,PAS ACCOUNTANTS,Karachi,"Rs 40,000 - Rs 50,000 a month",EmployerActive 6 days ago
74,https://pk.indeed.com/company/Liberty-Books-Pvt-Ltd/jobs/Computer-Operator-89218884102f80e7?fccid=a76bc10fb34ae421&vjs=3,Computer Operator,Liberty Books Pvt Ltd,Karachi,"Rs 18,000 a month",EmployerActive 1 day ago
75,https://pk.indeed.com/company/Qitmeer-Traders/jobs/Data-Entry-Officer-62679c436d58ad01?fccid=c81f6c10658c1da4&vjs=3,Data Entry Officer (Female),Qitmeer Traders,Karachi,"Rs 25,000 - Rs 30,000 a month",PostedPosted 24 days ago
76,https://pk.indeed.com/company/AUA-SOLUTIONS/jobs/Phone-Verification-Officer-ad65e7cda80c5edc?fccid=bad220a08e03b070&vjs=3,Phone Verification Officers,AUA Solutions,Karachi,"Rs 22,000 - Rs 37,000 a month",EmployerActive 3 days ago
77,https://pk.indeed.com/company/Appedology-PVT-Ltd./jobs/Billing-Excel-Specialist-d6c01431ca50916f?fccid=e2fe2b8d82d9ec39&vjs=3,Billing & Excel Specialist,Appedology PVT Ltd.,Karachi,"Rs 40,000 - Rs 45,000 a month",EmployerActive 1 day ago
78,https://pk.indeed.com/company/Quantum-Computing-Services/jobs/Finance-Account-Officer-31619d643b2573ab?fccid=b11de907c5fb7a34&vjs=3,Finance & Accounts Officer,Quantum Computing Services,Karachi,"Rs 40,000 - Rs 60,000 a month",EmployerActive 2 days ago
79,https://pk.indeed.com/company/Qureshi-Group/jobs/Salon-Manager-1c35fe07db5f7b82?fccid=c4b5739829fa46aa&vjs=3,Salon Manager,Qureshi Group,Karachi,"Rs 40,000 - Rs 55,000 a month",EmployerActive 4 days ago
80,https://pk.indeed.com/company/DRM-Outsource-Solutions-Pvt.-Ltd./jobs/Billing-Specialist-d0b0a468f3bd88ad?fccid=79b05d0266c57d97&vjs=3,Billing Specialist -Night Shiftnew,DRM Outsource Solutions Pvt. Ltd.,Karachi,"Rs 35,000 - Rs 40,000 a month",Hiring ongoing
81,https://pk.indeed.com/company/Kareerwiz/jobs/Customer-Service-Officer-b833eb992a4a186e?fccid=62e4be8e22b12fd3&vjs=3,Customer Services Officer,Kareerwiz,Karachi,N/A,EmployerActive 4 days ago
82,https://pk.indeed.com/company/Itribe-Solutions/jobs/Web-Research-Analyst-Data-Entry-Operator-f033dd804549e521?fccid=6d358e7d84a610a1&vjs=3,Web Research Analyst & Data Entry Operator (Morning),Itribe Solutions,Karachi,"Rs 18,500 - Rs 20,000 a month",EmployerActive 5 days ago
83,https://pk.indeed.com/company/Pakistan-Industrial-Films-(Pvt.)-Ltd./jobs/Account-Executive-1f6770158efdb649?fccid=392de962560c6203&vjs=3,Accounts Executive,Pakistan Industrial Films (Pvt.) Ltd.,Karachi,"Rs 35,000 a month",PostedPosted 30+ days ago
84,https://pk.indeed.com/company/Dawat-e-Islami/jobs/Human-Resource-Officer-ca7e08bc6fc6944c?fccid=3c08eaf3780e7ddd&vjs=3,HR Officer,Dawat e Islami,Karachi,"Rs 25,000 a month",EmployerActive 4 days ago
85,https://pk.indeed.com/company/AtoZ-Solutions/jobs/Data-Entry-Online-Marketing-b37abbbbc4e5c244?fccid=d663f21d0469b5dd&vjs=3,Data Entry & Online Marketing,AtoZ Solutions,Karachi,"Rs 15,000 a month",PostedPosted 27 days ago
86,https://pk.indeed.com/company/Digital-Bizkart/jobs/Internship-697e5e8089273481?fccid=b72b1b99a902e2e5&vjs=3,Internship - Data Entry,Career Consultants Inc.,Karachi,"Rs 12,000 a month",PostedPosted 27 days ago
87,https://pk.indeed.com/company/MARS-Healthcare-Network/jobs/Workflow-Executive-32401f6cbbc85220?fccid=1ef8430dafd7acdf&vjs=3,Workflow Executive,MARS Healthcare Network,Karachi,"Rs 55,000 a month",PostedPosted 18 days ago
88,https://pk.indeed.com/company/MicroMerger-(Pvt.)-Ltd/jobs/District-Liaison-Officer-06ffa027e2ea50df?fccid=2f3a20a11b8438fa&vjs=3,District Liaison Officer - Karachinew,MicroMerger (Pvt.) Ltd,Karachi,"Rs 55,000 a month",PostedPosted 4 days ago
89,https://pk.indeed.com/company/Human-Resource-Solution-(Pvt.)-Ltd./jobs/Hotel-Manager-f5f6833b97646e5a?fccid=0b6a0aacc7516166&vjs=3,Hotel Manager-Karachinew,Human Resource Solution (Pvt.) Ltd.,Karachi,"Rs 60,000 - Rs 80,000 a month",PostedPosted 2 days ago
90,https://pk.indeed.com/company/Gulf-Star-Travel-&-Tourism/jobs/Inside-Sales-Representative-Male-Female-cd0c51c0e5c39e3d?fccid=fa1084c446b93257&vjs=3,INSIDE SALES REPRESENTATIVE MALE & FEMALEnew,Gulf Star Travel & Tourism,Karachi,N/A,EmployerActive 2 days ago
91,https://pk.indeed.com/company/Itribe-Solutions/jobs/Web-Research-Analyst-Data-Entry-Operator-f033dd804549e521?fccid=6d358e7d84a610a1&vjs=3,Web Research Analyst & Data Entry Operator (Morning),Itribe Solutions,Karachi,"Rs 18,500 - Rs 20,000 a month",EmployerActive 5 days ago
92,https://pk.indeed.com/company/Summon-electronics/jobs/Accounting-Personnel-Core-Quickbook-Zoho-Book-Knowledge-fa2d9ee687a60c04?fccid=a2a554d97a50fc94&vjs=3,Accounting Personnel with Core QuickBooks and Zoho Books Knowledge (Remote),Summon Electronics Inc,Karachi,"Rs 70,000 a month",EmployerActive 1 day ago
93,https://pk.indeed.com/company/Digital-Bizkart/jobs/Internship-697e5e8089273481?fccid=b72b1b99a902e2e5&vjs=3,Internship - Data Entry,Career Consultants Inc.,Karachi,"Rs 12,000 a month",PostedPosted 27 days ago
94,https://pk.indeed.com/company/Marie-Stopes-Society-Pakisatn/jobs/Paramedic-8ac1f5e79351abe2?fccid=a1d550a2902651ef&vjs=3,Paramedic / LHV / Midwife,Marie Stopes Society Pakisatn,Karachi,"Rs 30,000 - Rs 40,000 a month",EmployerActive 8 days ago
95,https://pk.indeed.com/company/Cancer-Foundation-Hospital/jobs/Lab-Technologist-6f8e5d2e407a43de?fccid=27ec6a56c9d884d9&vjs=3,Lab Technologist,Cancer Foundation Hospital,Karachi,N/A,EmployerActive 1 day ago
96,https://pk.indeed.com/company/Alam-Reunion-Private-Limited/jobs/Account-Inventory-Officer-9d162d431252888f?fccid=f1205c608d4a9d10&vjs=3,Accounts & Inventory officer,Alam Reunion Private Limited,Karachi,"Rs 25,000 - Rs 35,000 a month",EmployerActive 1 day ago
97,https://pk.indeed.com/company/Appedology-PVT-Ltd./jobs/Billing-Excel-Specialist-d6c01431ca50916f?fccid=e2fe2b8d82d9ec39&vjs=3,Billing & Excel Specialist,Appedology PVT Ltd.,Karachi,"Rs 40,000 - Rs 45,000 a month",EmployerActive 1 day ago
98,https://pk.indeed.com/company/Fahad-Enterprises/jobs/Accountant-Urdu-Typist-2c4a6a500b211c0a?fccid=5f5bd4d39e2e95d7&vjs=3,Accountant and Urdu Typist,Fahad Enterprises,Karachi,"Rs 25,000 a month",EmployerActive 1 day ago
99,https://pk.indeed.com/company/Facon/jobs/Senior-Account-Executive-f3b68e9912226bfc?fccid=542008648618b7d4&vjs=3,SENIOR ACCOUNTS EXECUTIVE (MALE)new,FACON,Karachi,N/A,EmployerActive 2 days ago
100,https://pk.indeed.com/company/Liberty-Books-Pvt-Ltd/jobs/Customer-Service-Representative-01b6038ed381f158?fccid=a76bc10fb34ae421&vjs=3,CUSTOMER SERVICE REPRESENTATIVE (FEMALE)new,Liberty Books Pvt Ltd,Karachi,"Rs 30,000 - Rs 35,000 a month",PostedPosted 6 days ago
